Mention_Type,Date,Title,Link,Snippet
Joint Mention,2026-02-18 05:11:33 UTC,India's 700M users drive AI innovation | Ashish k. Singh ...,https://www.linkedin.com/posts/ashishksingh01_the-worlds-top-ai-companies-are-in-to-delhi-activity-7429754425071525888-H1oE,Business & Strategy @ Adya.ai | Agentic AI & Intelligent Growth Systems for Startups ... Adya Shayak Mazumder Amit Srivastava #Mahakumbh_of_AI # ...Read more
Joint Mention,2026-02-17 16:32:52 UTC,India AI Impact Expo 2026: AI Infrastructure Key to Industry ...,https://www.linkedin.com/posts/constl_indiaaiimpactexpo2026-indiaaiimpactexpo-activity-7429563498663260161-2oC2,"→ Shri Shayak Mazumder - CEO & CTO, Adya ai → Shri Tarun Adlakha - Founder & CEO Ashwath Ventures → Shri Jignesh Vasani - SVP, FarEye Technologies → Dr ...Read more"
Joint Mention,2026-02-17 14:20:21 UTC,AI in Forensics: Enhancing Investigations and Evidence ...,https://www.linkedin.com/posts/shailesh-m-kand-6b5b9217_ai-forensics-impactsummit-activity-7429530149575925760-KXko,Business & Strategy @ Adya.ai | Agentic AI & Intelligent Growth Systems for Startups ... Shayak Mazumder Amit Srivastava #IndiaAIImpactSummit2026 ...Read more
Joint Mention,2026-02-17 07:23:05 UTC,Dr. Harshil Sharma to speak on AI Accessibility at India AI ...,https://www.linkedin.com/posts/indusaction_indiaaiimpactsummit2026-responsibleai-activity-7429425139710332928-iBfM,"→ Shri Shayak Mazumder - CEO & CTO, Adya ai → Shri Tarun Adlakha - Founder & CEO Ashwath Ventures → Shri Jignesh Vasani - SVP, FarEye Technologies → Dr.Read more"
Joint Mention,2026-02-17 07:23:05 UTC,Indus Action's Post,https://www.linkedin.com/posts/indusaction_indiaaiimpactsummit2026-responsibleai-aiforgood-activity-7429425139710332928-Dwhc,"→ Shri Shayak Mazumder - CEO & CTO, Adya ai → Shri Tarun Adlakha - Founder & CEO Ashwath Ventures → Shri Jignesh Vasani - SVP, FarEye Technologies → Dr.Read more"
Joint Mention,2026-02-17 05:15:07 UTC,CII India AI Impact Summit: Democratizing AI Resources,https://www.linkedin.com/posts/charu-jain-34197a13_grateful-to-be-part-of-the-conversation-at-activity-7429392936208883713-Bixq,"... Shayak Mazumder of Adya AI on agentic systems and regulated inference, to @Rakesh S of JetSynthesys on real-time infrastructure realities, @Manish Goyal of ..."
Joint Mention,2026-02-16 18:04:10 UTC,Shayak Mazumder on AI Accessibility at India AI Impact ...,https://www.linkedin.com/posts/adyadotai_indiaaiimpactsummit-adyaai-aiforimpact-activity-7429224087597682688-Rbl1,"→ Shri Shayak Mazumder - CEO & CTO, Adya ai → Shri Tarun Adlakha - Founder & CEO Ashwath Ventures → Shri Jignesh Vasani - SVP, FarEye Technologies → Dr.Read more"
Joint Mention,2026-02-16 17:17:48 UTC,Shreya Singh's Post,https://www.linkedin.com/posts/singhshreya96_indiaai-aiforgood-digitalindia-activity-7429212416112074753-MMuk,Business & Strategy @ Adya.ai ... Shayak Mazumder Amit Srivastava #IndiaAIImpactSummit2026 #EnterpriseAI #AIGovernance #AIInProduction #TechLeadership.Read more
Joint Mention,2026-02-16 16:58:58 UTC,Empowering India through AI at India AI Impact Summit 2026,https://www.linkedin.com/posts/jigneshvasani_indiaaiimpactsummit2026-responsibleai-activity-7429207679245627392-amvk,"→ Shri Shayak Mazumder - CEO & CTO, Adya ai → Shri Tarun Adlakha - Founder & CEO Ashwath Ventures → Shri Jignesh Vasani - SVP, FarEye Technologies → Dr.Read more"
Joint Mention,2026-02-16 14:32:46 UTC,Cloud & AI as a Platform Democratizes AI Access in India,https://www.linkedin.com/posts/confederation-of-indian-industry_indiaaiimpactsummit2026-cii4aiimpact-cii4aiadoption-activity-7429170886697488384-VcbQ,"... Shayak Mazumder, CEO, Adya AI * Niraj Ruparel, Creative Technology ... I appreciated the depth of perspectives shared — from Shayak Mazumder of Adya AI ...Read more"
